,Unnamed: 0,4. State Resource Mix (eGRID2016),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,State,Nameplate Capacity (MW),Net Generation (MWh),Generation Resource Mix (percent)*,,,,,,,,,,
1,,,,,Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
2,,AK,3439.3,6335033.511,9.37508349654355,13.1177817525334,47.9766949320682,0,0,26.1802209374103,0.678771307669188,2.67144757377534,0,0,0
3,,AL,38353.5,142863240.209,23.9798603432318,0.0320812876526775,40.4608060090415,0.0168364122124984,27.9301232266998,5.22383854364561,2.33457241144212,0,0.0218817660739702,0,0
4,,AR,19535.8,60445059.072,39.3747160179087,0.0700855395293054,30.0623197082992,0.00932544868986719,22.2036707929482,5.9703969782852,2.2662363220001,0,0.0432491923393949,0,0
5,,AZ,40134.7,108734630.779,27.9609257579863,0.0474497764901804,31.4367212370378,0,29.7764221046636,6.64585842381067,0.197155599400995,0.498073838066132,3.43739326254438,0,0
6,,CA,106792.9,197323836.964,0.161600251206906,0.0885926066314154,49.1612356206819,0.723083279462725,9.58200406171968,14.5358883353839,3.1025378432278,6.81259009984281,9.78143414455527,5.80634312625006,0.244690631037569
7,,CO,19872.6,54418479.931,55.0340160825281,0.0128164274462212,23.2998778886932,0,0,2.95558604633453,0.298253461236163,17.3125085611163,0.988835153985018,0,0.0981063786604004
8,,CT,11788.5,36496559.656,0.485992324632169,0.251351199081465,49.186836961912,0,45.4165872979648,0.629461791630518,3.92767852879067,0.0349128795302527,0.0671790164581009,0,0
9,,DC,24.9,76473.999,0,1.30841462457829,29.6859403195857,0,0,0,69.005645055836,0,0,0,0
10,,DE,4010.7,8731261.003,5.49004150218474,0.716636049997522,89.1906553311554,3.17797535844454,0,0,0.778661904624091,0.0609419447027341,0.585087908890953,0,0
11,,FL,100751.4,238226428.16,16.5512567857852,1.1838750530123,66.5164332900752,0.00998623795896645,12.3076277569261,0.073271047770674,2.56014508230251,0,0.0940210545503543,0,0.703383691618647
12,,GA,51336.4,132902274.317,28.5100273720157,0.159399416679368,39.7754400305443,0.0733993681054065,25.9443730491926,1.43075880448999,3.44118703930145,0,0.662835154951894,0,0.00257976471936003
13,,HI,3501.8,9948844.667,15.0507873675246,66.7445925896695,0,0.637059353939782,0,0.913161271920704,5.5918934228451,6.42413261828819,0.88966025257374,2.61439391902078,1.13431920421758
14,,IA,22303.9,54396530.724,46.3234452100955,0.510644158571517,5.44326436643707,0.022283274071317,8.64515612980608,1.68538138334089,0.462740086914409,36.9068077995302,0.000277591232971245,0,0
15,,ID,6212.4,15660938.441,0.1863762010766,0.0011707152891251,21.20857824125,0,0,57.680273573303,3.394262132981,16.4639879037307,0.190288725251396,0.459710639725991,0.415351867392129
16,,IL,62747.6,187437381.035,31.6573998349036,0.0370806331138922,9.32601520615151,0.110479676254971,52.6079893239325,0.0708684673588436,0.249156281206178,5.68906473013071,0.026040696597145,0,0.225905150350681
17,,IN,40933.2,101397209.392,71.2792363847568,0.599855432825697,19.6500043434276,2.2332087632537,0,0.418896366328742,0.44439506324001,4.81477919961092,0.221936575000556,0,0.337687871555988
