,Unnamed: 0,4. State Resource Mix (eGRID2016),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,State,Nameplate Capacity (MW),Net Generation (MWh),Generation Resource Mix (percent)*,,,,,,,,,,
1,,,,,Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
34,,NM,13285.9,32922552.001,55.7832509209687,0.156982687189679,30.2453863150808,0,0,0.449454836765536,0.0541069607331151,10.9512198728546,2.31556475971366,0.0431862032623226,0.000847443431578843
35,,NV,19953.8,39228694.003,5.52358623029987,0.0280029332624738,73.7256550485074,0.00189263501873871,0,4.56099558168115,0.14087647170415,0.876564996065205,6.54049048925975,8.54833199435843,0.0536036198428428
36,,NY,51335.7,134090832.639,1.32017813965061,0.476908093068945,42.1136349819461,0,31.0021119092066,19.7010500097137,2.32282244229962,2.938440997013,0.104116737315042,0,0.0207366897864929
37,,OH,46930.8,118922077.758,57.8029332194481,0.993395739314884,24.324397094141,0.615739256244761,14.1343791607182,0.420500105170361,0.606897806174076,1.04665881730201,0.0550988014865089,0,0
38,,OK,33525.2,78655008.003,24.3570561777216,0.0219455716971364,46.4421617810863,0.0283195295391412,0,3.16063158376871,0.467638568809724,25.5153355935538,0.0069111938235462,0,0
39,,OR,19278.2,60181811.826,3.15408787957563,0.00805865072291105,25.4338325843189,0,0,57.4078691171161,1.73047554638906,11.8924168703487,0.0680200182258296,0.305239333302836,0
40,,PA,68558.5,215066508.488,25.4209872038413,0.168652292280365,31.6409820032753,0.249873539132601,38.557379978375,0.842847642902135,1.46520187301296,1.61635859510349,0.0347824309890067,0,0.00293444108779934
41,,RI,2398,6564885.1,0,0.400354469935055,95.8204613449386,0,0,0.0324148856080043,3.11926403042916,0.404150256086264,0.223355013002898,0,0
42,,SC,31484.7,96985763.86,21.6556663760401,0.117400600775043,16.8755224308708,0.0468312083825458,57.5609388356085,1.28830660818325,2.45020844561225,0,0.00512549452752034,0,0
43,,SD,5438,10289415.719,20.2409986596975,0.0271428920094766,8.9272453276606,0,0,40.162669178107,0,30.6384063266924,0.00353761583311981,0,0
44,,TN,27972.7,79340633.31,39.2833183196113,0.153239840698565,14.2657227280735,0.0432340184282968,37.2798713455855,7.65070147719864,1.17640505095384,0.047575874371378,0.099087941172931,0,0.000843403906167379
45,,TX,182433.5,453941342.056,26.7062991106578,0.0432703346914266,49.7809385301747,0.554282657036034,9.26979790200154,0.295634011652853,0.370685631863286,12.6736163184591,0.160992166240827,0,0.144483337222404
46,,UT,11043.7,38133928.003,68.021954394508,0.0827400208531232,22.7915679163765,0.141865959794474,0,1.99177488220478,0.233006856628429,2.15630028844898,2.7630539379768,1.27207981218714,0.545655931021808
47,,VA,34581.2,92554816.451,17.8266381936999,0.578425695153699,44.1952612873437,0,32.1235522890339,0.333668209147557,4.91986446946641,0,0.0225898561547833,0,0
48,,VT,796.3,1911207.085,0,0.210167648111503,0.102837207237784,0,0,56.3788719381972,24.9839446755423,15.2355022600183,3.08867627089291,0,0
49,,WA,34016.1,114086582.682,4.03352910743163,0.0192530893353324,9.62621748446973,0.352049603218519,8.43710038965381,68.6700452649127,1.81228615931981,7.04888166782742,0.000637233831047834,0,0
50,,WI,23413.6,64966610.542,51.3538262497966,0.226441317247121,23.8164789671229,0.0110326487344699,15.6255556883278,4.302606618444,2.28197931114237,2.33236884883508,0.00411154276602436,0,0.0455988075835716
51,,WV,20625.5,75942967.562,94.1514409510465,0.161501361424458,1.61222125291139,0.0324548406679132,0,2.1568581820887,0,1.88552341186101,0,0,0
52,,WY,13744.3,46656629.978,85.7903235585195,0.119244714935337,1.68924032896151,0.767604330633421,0,2.08649484593123,0,9.40774752906873,0,0,0.139344691950248
53,,U.S.,1515006.8,4075322641.089,30.4034440970752,0.593638604155216,33.7969267585496,0.340778750119991,19.7683069304823,6.40692342781077,1.71112161020832,5.56780957737731,0.881937072788413,0.388298076428613,0.140815095004277
54,,,,,,,,,,,,,,Created:,2018-02-15 00:00:00
