time,process wattage reading
0.1,24.246912500166218
0.2,24.484949999896344
0.3,23.22077500029991
0.4,22.93237499980023
0.5,22.99111249994894
0.6,23.399300000164658
0.7,24.735962499835296
0.8,23.37716250003723
0.9,23.325287500119884
1.0,24.526150000019697
1.1,23.384799999985262
1.2,24.652037499981816
1.3,23.31078749994049
1.4,24.515475000225706
1.5,24.760374999823398
1.6,24.819112499972107
1.7,24.542175000169664
1.8,24.09205000003567
1.9,23.358087499946123
2.0,24.61771249982121
2.1,23.29476250015432
2.2,23.56637499979115
2.3,23.547312500159023
2.4,23.300875000131782
2.5,23.384799999985262
2.6,23.661750000246684
2.7,23.50762499991106
2.8,23.344362499847193
2.9,23.361149999982445
3.0,23.328337500061025
3.1,23.500762500043493
3.2,24.661187499805237
3.3,24.57727500004694
3.4,23.34131250026985
3.5,23.306975000014063
3.6,23.612912500175298
3.7,24.55515000001469
3.8,24.118737499884446
3.9,23.29476250015432
4.0,24.988499999744818
4.1,23.633512500236975
4.2,23.34129999981087
4.3,24.720700000034412
4.4,23.59536250005476
4.5,23.60681249992922
4.6,23.319187499873806
4.7,23.27493750017311
4.8,23.265025000000605
4.9,24.883200000112993
5.0,23.905124999873806
5.1,23.33672499989916
5.2,24.168337499941117
5.3,24.26369999993767
5.4,23.599174999981187
5.5,23.365724999894155
5.6,24.624575000052573
5.7,23.529749999943306
5.8,23.486274999959278
5.9,23.38478749989008
6.0,23.498475000087637
6.1,23.300874999767984
6.2,24.898462500277674
6.3,23.57247500003723
6.5,23.38098749969504
6.6,23.33444999967469
6.7,23.52288750007574
6.8,23.591550000128336
6.9,23.275699999794597
7.0,23.277224999765167
7.1,24.84201250008482
7.2,23.57857499991951
7.3,23.31080000003567
7.4,23.549587500019697
7.5,23.36496249990887
7.6,23.596125000040047
7.7,24.78631250014587
7.8,24.191212500227266
7.9,23.67166250005539
8.0,23.714387499785516
8.1,23.34741250015213
8.2,23.469487499824027
8.3,24.098912499903236
8.4,25.05257500015432
8.5,23.82348749997618
8.6,23.367249999864725
8.7,23.28256250002596
8.8,23.62512500003504
8.9,23.802887499914505
9.0,23.304687500058208
9.1,23.561037499894155
9.2,24.729862499953015
9.3,23.783062499933294
9.4,23.61748750008701
9.5,23.299349999797414
9.6,23.340549999920768
9.7,24.66348750022007
9.8,23.666324999794597
9.9,24.883962500098278
10.0,23.65030000000843
10.1,23.497712499738554
10.2,23.738800000137417
10.3,24.67797499994049
10.4,5.520612500185962
