time,baseline wattage reading
0.0,3.300779999990482
0.1,3.0670099999406375
0.2,3.0316099998890422
0.3,3.0529700001352467
0.4,3.0041399999754503
0.5,3.0608999999822117
0.6,3.07678000011947
0.7,3.0444199999328703
0.8,3.0383300001267344
0.9,2.934569999924861
1.0,2.996819999825675
1.1,2.3199400000157766
1.2,1.0961899999529123
1.3,1.080929999880027
1.4,1.1261000001104549
1.5,1.066280000086408
1.6,1.0827600001357496
1.7,1.0711599999922328
1.8,1.038210000260733
1.9,1.229250000033062
2.0,1.2408399998093955
2.1,1.0333200002787635
2.2,1.0833799999090843
2.3,1.1053500001435168
2.4,1.0876400000415742
2.5,1.0876400000415742
2.6,1.0760499999742024
2.7,1.1633200000505894
2.8,1.052860000054352
2.9,1.0748299999977462
3.0,1.058340000163298
3.1,1.0143999999854714
3.2,1.156009999976959
3.3,1.134639999945648
3.4,1.0699400000157766
3.5,1.0827599998447113
3.6,1.0827599998447113
3.7,1.0882500000298023
3.8,1.1169399999198504
3.9,1.1901900000520982
4.0,1.0534599999664351
4.1,1.0467500000959262
4.2,1.0900799999944866
4.3,1.0687300001154654
4.4,1.0174499999266118
4.5,1.0888600000180304
4.6,1.0449199998402037
4.7,1.1859100000583567
4.8,1.0821499998564832
4.9,1.1364799999864772
